DATE,KCFSI
2000-01-01,0.359553389322391
2000-02-01,0.334886084118345
2000-03-01,0.832635675153417
2000-04-01,1.14653008929303
2000-05-01,1.1246036215241
2000-06-01,1.2889760106849
2000-07-01,0.765882276208818
2000-08-01,0.640565774085836
2000-09-01,0.808712719387112
2000-10-01,1.06606506139428
2000-11-01,1.18987623962662
2000-12-01,1.43281810638427
2001-01-01,1.3066415904231
2001-02-01,0.935642966415817
2001-03-01,1.16083744556018
2001-04-01,1.07281277078874
2001-05-01,0.635498903049562
2001-06-01,0.596011038616607
2001-07-01,0.520176423721509
2001-08-01,0.533029384059133
2001-09-01,1.08312249303418
2001-10-01,1.20110644124191
2001-11-01,0.603811877551832
2001-12-01,0.427863847500898
2002-01-01,0.367152481944573
2002-02-01,0.349101961924454
2002-03-01,0.269080078546122
2002-04-01,0.309471799426933
2002-05-01,0.178775212001112
2002-06-01,0.544610912519356
2002-07-01,1.07785087814597
2002-08-01,1.0202292476845
2002-09-01,1.32847210769813
2002-10-01,1.48587730172296
2002-11-01,0.86349617373274
2002-12-01,0.635412214437831
2003-01-01,0.492593277343721
2003-02-01,0.500360196775126
2003-03-01,0.451685670972017
2003-04-01,0.127579565922345
2003-05-01,-0.11495064703131
2003-06-01,-0.162491820623865
2003-07-01,-0.307512111868963
2003-08-01,-0.39286599799132
2003-09-01,-0.497616004306084
2003-10-01,-0.548969262087003
2003-11-01,-0.57527930922534
2003-12-01,-0.627426441333969
2004-01-01,-0.650899362296862
2004-02-01,-0.723173658789581
2004-03-01,-0.642986918724741
2004-04-01,-0.61296946391625
2004-05-01,-0.633494549547006
2004-06-01,-0.735800577325513
2004-07-01,-0.71033629244829
2004-08-01,-0.640971698641987
2004-09-01,-0.658533795718524
2004-10-01,-0.546154869071928
2004-11-01,-0.639735274267415
2004-12-01,-0.784332087036606
2005-01-01,-0.725494293002766
2005-02-01,-0.894523548863849
2005-03-01,-0.830251816738374
2005-04-01,-0.527299999875902
2005-05-01,-0.517678226732689
2005-06-01,-0.650125330564022
2005-07-01,-0.666542524089728
2005-08-01,-0.76634546285981
2005-09-01,-0.668481996736247
2005-10-01,-0.563604090701754
2005-11-01,-0.554181051210262
2005-12-01,-0.587349991411112
2006-01-01,-0.581505121723068
2006-02-01,-0.663970894306324
2006-03-01,-0.657480186404066
2006-04-01,-0.599578038514554
2006-05-01,-0.76814000611419
2006-06-01,-0.54095517078597
2006-07-01,-0.535498771406352
2006-08-01,-0.646283377176812
2006-09-01,-0.622045092293771
2006-10-01,-0.706504455691565
2006-11-01,-0.798328574254219
2006-12-01,-0.730664428547338
2007-01-01,-0.796730751676873
2007-02-01,-0.803678282526462
2007-03-01,-0.495817443902794
2007-04-01,-0.419567601250878
2007-05-01,-0.603749260739333
2007-06-01,-0.66105230537964
2007-07-01,-0.354048620039216
2007-08-01,0.525218201491091
2007-09-01,0.289337020031884
2007-10-01,0.208109925376126
2007-11-01,0.898526494760644
2007-12-01,0.921294676581013
2008-01-01,1.29856893740722
2008-02-01,1.14951592672083
2008-03-01,1.71855310002055
2008-04-01,1.45653872360364
2008-05-01,0.924543973736605
2008-06-01,1.34644023035617
2008-07-01,2.12262919271243
2008-08-01,1.56271368211335
2008-09-01,2.49473325026648
2008-10-01,5.5694588160037
2008-11-01,5.61439823703722
2008-12-01,5.50928944591301
2009-01-01,5.32273848395511
2009-02-01,4.5522814188979
2009-03-01,4.62213813845482
2009-04-01,4.32916476252843
2009-05-01,2.94510615008714
2009-06-01,1.71295473325748
2009-07-01,1.59435410703962
2009-08-01,1.12888351040665
2009-09-01,1.0177335859788
2009-10-01,0.84436187424777
2009-11-01,0.803087472018748
2009-12-01,0.569383755790006
2010-01-01,0.6730891977905
2010-02-01,0.398299674249337
2010-03-01,0.17087229340983
2010-04-01,-0.0353004521269884
2010-05-01,0.708585341375252
2010-06-01,0.683658447470649
2010-07-01,0.561544163987579
2010-08-01,0.33220355433284
2010-09-01,0.223951276963802
2010-10-01,0.335757186903918
2010-11-01,0.0767466769536145
2010-12-01,0.0308845513355546
2011-01-01,-0.123397469055607
2011-02-01,-0.406539163658999
2011-03-01,-0.213469691559039
2011-04-01,-0.317132205746053
2011-05-01,-0.301931701659271
2011-06-01,-0.0297631309019934
2011-07-01,-0.0249685521621152
2011-08-01,0.869322071657008
2011-09-01,0.928593414039873
2011-10-01,1.09219560260104
2011-11-01,0.632156121224852
2011-12-01,0.572677871619718
2012-01-01,0.504330141955931
2012-02-01,0.130829070649977
2012-03-01,-0.00814848341116474
2012-04-01,0.0208612490526412
2012-05-01,0.307217516684992
2012-06-01,0.273110265251515
2012-07-01,0.145189899179152
2012-08-01,-0.208986015808847
2012-09-01,-0.325095834629156
2012-10-01,-0.270458458519158
2012-11-01,-0.326757542172614
2012-12-01,-0.320568243289711
2013-01-01,-0.354368138318732
2013-02-01,-0.506248384548464
2013-03-01,-0.458134439662342
2013-04-01,-0.435212466061995
2013-05-01,-0.482055627799047
2013-06-01,-0.334745483278538
2013-07-01,-0.424539121030405
2013-08-01,-0.55899196224639
2013-09-01,-0.609007872846764
2013-10-01,-0.631163852602383
2013-11-01,-0.586416459693619
2013-12-01,-0.746725993545225
2014-01-01,-0.795411122360398
2014-02-01,-0.619853400704049
2014-03-01,-0.621085046807393
2014-04-01,-0.536290740741871
2014-05-01,-0.902473172575845
2014-06-01,-0.857689151319893
2014-07-01,-0.703731494248545
2014-08-01,-0.759726018606615
2014-09-01,-0.736461354007223
2014-10-01,-0.331525898298171
2014-11-01,-0.623860460499539
