DATE,CCSA,ym,d,check
4/19/2014,2767000,2014-04,19,FALSE
4/26/2014,2707000,2014-04,26,TRUE
5/3/2014,2702000,2014-05,3,FALSE
5/10/2014,2691000,2014-05,10,FALSE
5/17/2014,2657000,2014-05,17,FALSE
5/24/2014,2646000,2014-05,24,FALSE
5/31/2014,2641000,2014-05,31,TRUE
6/7/2014,2598000,2014-06,7,FALSE
6/14/2014,2595000,2014-06,14,FALSE
6/21/2014,2583000,2014-06,21,FALSE
6/28/2014,2579000,2014-06,28,TRUE
7/5/2014,2540000,2014-07,5,FALSE
7/12/2014,2528000,2014-07,12,FALSE
7/19/2014,2542000,2014-07,19,FALSE
7/26/2014,2524000,2014-07,26,TRUE
8/2/2014,2530000,2014-08,2,FALSE
8/9/2014,2508000,2014-08,9,FALSE
8/16/2014,2517000,2014-08,16,FALSE
8/23/2014,2483000,2014-08,23,FALSE
8/30/2014,2486000,2014-08,30,TRUE
9/6/2014,2452000,2014-09,6,FALSE
9/13/2014,2465000,2014-09,13,FALSE
9/20/2014,2447000,2014-09,20,FALSE
9/27/2014,2427000,2014-09,27,TRUE
10/4/2014,2441000,2014-10,4,FALSE
10/11/2014,2409000,2014-10,11,FALSE
10/18/2014,2437000,2014-10,18,FALSE
10/25/2014,2406000,2014-10,25,TRUE
11/1/2014,2436000,2014-11,1,FALSE
11/8/2014,2384000,2014-11,8,FALSE
11/15/2014,2351000,2014-11,15,FALSE
11/22/2014,2389000,2014-11,22,FALSE
11/29/2014,2484000,2014-11,29,TRUE
12/6/2014,2381000,2014-12,6,FALSE
12/13/2014,2379000,2014-12,13,FALSE
12/20/2014,2338000,2014-12,20,FALSE
12/27/2014,2422000,2014-12,27,TRUE
1/3/2015,2381000,2015-01,3,FALSE
1/10/2015,2400000,2015-01,10,FALSE
1/17/2015,2336000,2015-01,17,FALSE
1/24/2015,2335000,2015-01,24,FALSE
1/31/2015,2297000,2015-01,31,TRUE
2/7/2015,2344000,2015-02,7,FALSE
2/14/2015,2319000,2015-02,14,FALSE
2/21/2015,2341000,2015-02,21,FALSE
2/28/2015,2357000,2015-02,28,TRUE
3/7/2015,2361000,2015-03,7,FALSE
3/14/2015,2361000,2015-03,14,FALSE
3/21/2015,2306000,2015-03,21,FALSE
3/28/2015,2278000,2015-03,28,TRUE
4/4/2015,2273000,2015-04,4,FALSE
4/11/2015,2320000,2015-04,11,FALSE
4/18/2015,2279000,2015-04,18,FALSE
4/25/2015,2254000,2015-04,25,TRUE
5/2/2015,2261000,2015-05,2,FALSE
5/9/2015,2253000,2015-05,9,FALSE
5/16/2015,2258000,2015-05,16,FALSE
5/23/2015,2236000,2015-05,23,FALSE
5/30/2015,2294000,2015-05,30,TRUE
6/6/2015,2250000,2015-06,6,FALSE
6/13/2015,2268000,2015-06,13,FALSE
6/20/2015,2265000,2015-06,20,FALSE
6/27/2015,2312000,2015-06,27,TRUE
7/4/2015,2233000,2015-07,4,FALSE
7/11/2015,2226000,2015-07,11,FALSE
7/18/2015,2267000,2015-07,18,FALSE
7/25/2015,2253000,2015-07,25,TRUE
8/1/2015,2257000,2015-08,1,FALSE
8/8/2015,2247000,2015-08,8,FALSE
8/15/2015,2256000,2015-08,15,FALSE
8/22/2015,2252000,2015-08,22,FALSE
8/29/2015,2258000,2015-08,29,TRUE
9/5/2015,2243000,2015-09,5,FALSE
9/12/2015,2255000,2015-09,12,FALSE
9/19/2015,2234000,2015-09,19,FALSE
9/26/2015,2240000,2015-09,26,TRUE
10/3/2015,2207000,2015-10,3,FALSE
10/10/2015,2214000,2015-10,10,FALSE
10/17/2015,2194000,2015-10,17,FALSE
10/24/2015,2218000,2015-10,24,FALSE
10/31/2015,2205000,2015-10,31,TRUE
11/7/2015,2209000,2015-11,7,FALSE
11/14/2015,2185000,2015-11,14,FALSE
11/21/2015,2181000,2015-11,21,FALSE
11/28/2015,2259000,2015-11,28,TRUE
12/5/2015,2242000,2015-12,5,FALSE
12/12/2015,2190000,2015-12,12,FALSE
12/19/2015,2176000,2015-12,19,FALSE
12/26/2015,2207000,2015-12,26,TRUE
1/2/2016,2218000,2016-01,2,FALSE
1/9/2016,2190000,2016-01,9,FALSE
1/16/2016,2221000,2016-01,16,FALSE
1/23/2016,2199000,2016-01,23,FALSE
1/30/2016,2210000,2016-01,30,TRUE
2/6/2016,2213000,2016-02,6,FALSE
2/13/2016,2206000,2016-02,13,FALSE
2/20/2016,2203000,2016-02,20,FALSE
2/27/2016,2180000,2016-02,27,TRUE
3/5/2016,2203000,2016-03,5,FALSE
3/12/2016,2163000,2016-03,12,FALSE
3/19/2016,2138000,2016-03,19,FALSE
3/26/2016,2165000,2016-03,26,TRUE
4/2/2016,2151000,2016-04,2,FALSE
4/9/2016,2139000,2016-04,9,FALSE
4/16/2016,2135000,2016-04,16,FALSE
4/23/2016,2137000,2016-04,23,FALSE
4/30/2016,2183000,2016-04,30,TRUE
5/7/2016,2185000,2016-05,7,FALSE
5/14/2016,2177000,2016-05,14,FALSE
5/21/2016,2186000,2016-05,21,FALSE
5/28/2016,2131000,2016-05,28,TRUE
6/4/2016,2170000,2016-06,4,FALSE
6/11/2016,2158000,2016-06,11,FALSE
6/18/2016,2160000,2016-06,18,FALSE
6/25/2016,2139000,2016-06,25,TRUE
7/2/2016,2131000,2016-07,2,FALSE
7/9/2016,2125000,2016-07,9,FALSE
7/16/2016,2140000,2016-07,16,FALSE
7/23/2016,2134000,2016-07,23,FALSE
7/30/2016,2143000,2016-07,30,TRUE
8/6/2016,2157000,2016-08,6,FALSE
8/13/2016,2137000,2016-08,13,FALSE
8/20/2016,2148000,2016-08,20,FALSE
8/27/2016,2138000,2016-08,27,TRUE
9/3/2016,2149000,2016-09,3,FALSE
9/10/2016,2110000,2016-09,10,FALSE
9/17/2016,2098000,2016-09,17,FALSE
9/24/2016,2081000,2016-09,24,TRUE
10/1/2016,2080000,2016-10,1,FALSE
10/8/2016,2081000,2016-10,8,FALSE
10/15/2016,2069000,2016-10,15,FALSE
10/22/2016,2066000,2016-10,22,FALSE
10/29/2016,2067000,2016-10,29,TRUE
11/5/2016,2046000,2016-11,5,FALSE
11/12/2016,2045000,2016-11,12,FALSE
11/19/2016,2050000,2016-11,19,FALSE
11/26/2016,2038000,2016-11,26,TRUE
12/3/2016,2029000,2016-12,3,FALSE
12/10/2016,2030000,2016-12,10,FALSE
12/17/2016,2078000,2016-12,17,FALSE
12/24/2016,2077000,2016-12,24,FALSE
12/31/2016,2028000,2016-12,31,TRUE
1/7/2017,2020000,2017-01,7,FALSE
1/14/2017,2060000,2017-01,14,FALSE
1/21/2017,2030000,2017-01,21,FALSE
1/28/2017,2045000,2017-01,28,TRUE
2/4/2017,2030000,2017-02,4,FALSE
2/11/2017,2049000,2017-02,11,FALSE
2/18/2017,2009000,2017-02,18,FALSE
2/25/2017,2040000,2017-02,25,TRUE
3/4/2017,2005000,2017-03,4,FALSE
3/11/2017,1984000,2017-03,11,FALSE
3/18/2017,1993000,2017-03,18,FALSE
3/25/2017,2011000,2017-03,25,TRUE
4/1/2017,1982000,2017-04,1,FALSE
4/8/2017,1970000,2017-04,8,FALSE
4/15/2017,1973000,2017-04,15,FALSE
4/22/2017,1984000,2017-04,22,FALSE
4/29/2017,1925000,2017-04,29,TRUE
5/6/2017,1935000,2017-05,6,FALSE
5/13/2017,1935000,2017-05,13,FALSE
5/20/2017,1944000,2017-05,20,FALSE
5/27/2017,1935000,2017-05,27,TRUE
6/3/2017,1955000,2017-06,3,FALSE
6/10/2017,1953000,2017-06,10,FALSE
6/17/2017,1956000,2017-06,17,FALSE
6/24/2017,1966000,2017-06,24,TRUE
7/1/2017,1941000,2017-07,1,FALSE
7/8/2017,1965000,2017-07,8,FALSE
7/15/2017,1964000,2017-07,15,FALSE
7/22/2017,1961000,2017-07,22,FALSE
7/29/2017,1946000,2017-07,29,TRUE
8/5/2017,1948000,2017-08,5,FALSE
8/12/2017,1952000,2017-08,12,FALSE
8/19/2017,1949000,2017-08,19,FALSE
8/26/2017,1951000,2017-08,26,TRUE
9/2/2017,1951000,2017-09,2,FALSE
9/9/2017,1990000,2017-09,9,FALSE
9/16/2017,1941000,2017-09,16,FALSE
9/23/2017,1932000,2017-09,23,FALSE
9/30/2017,1928000,2017-09,30,TRUE
10/7/2017,1922000,2017-10,7,FALSE
10/14/2017,1923000,2017-10,14,FALSE
10/21/2017,1917000,2017-10,21,FALSE
10/28/2017,1927000,2017-10,28,TRUE
11/4/2017,1926000,2017-11,4,FALSE
11/11/2017,1914000,2017-11,11,FALSE
11/18/2017,1922000,2017-11,18,FALSE
11/25/2017,1940000,2017-11,25,TRUE
12/2/2017,1892000,2017-12,2,FALSE
12/9/2017,1926000,2017-12,9,FALSE
12/16/2017,1928000,2017-12,16,FALSE
12/23/2017,1908000,2017-12,23,FALSE
12/30/2017,1862000,2017-12,30,TRUE
1/6/2018,1919000,2018-01,6,FALSE
1/13/2018,1908000,2018-01,13,FALSE
1/20/2018,1921000,2018-01,20,FALSE
1/27/2018,1899000,2018-01,27,TRUE
2/3/2018,1900000,2018-02,3,FALSE
2/10/2018,1865000,2018-02,10,FALSE
2/17/2018,1879000,2018-02,17,FALSE
2/24/2018,1854000,2018-02,24,TRUE
3/3/2018,1853000,2018-03,3,FALSE
3/10/2018,1833000,2018-03,10,FALSE
3/17/2018,1821000,2018-03,17,FALSE
3/24/2018,1805000,2018-03,24,FALSE
3/31/2018,1835000,2018-03,31,TRUE
4/7/2018,1856000,2018-04,7,FALSE
4/14/2018,1815000,2018-04,14,FALSE
4/21/2018,1769000,2018-04,21,FALSE
4/28/2018,1780000,2018-04,28,TRUE
5/5/2018,1734000,2018-05,5,FALSE
5/12/2018,1742000,2018-05,12,FALSE
5/19/2018,1739000,2018-05,19,FALSE
5/26/2018,1742000,2018-05,26,TRUE
6/2/2018,1714000,2018-06,2,FALSE
6/9/2018,1736000,2018-06,9,FALSE
6/16/2018,1716000,2018-06,16,FALSE
6/23/2018,1740000,2018-06,23,FALSE
6/30/2018,1734000,2018-06,30,TRUE
7/7/2018,1750000,2018-07,7,FALSE
7/14/2018,1747000,2018-07,14,FALSE
7/21/2018,1726000,2018-07,21,FALSE
7/28/2018,1753000,2018-07,28,TRUE
8/4/2018,1722000,2018-08,4,FALSE
8/11/2018,1729000,2018-08,11,FALSE
8/18/2018,1713000,2018-08,18,FALSE
8/25/2018,1717000,2018-08,25,TRUE
9/1/2018,1710000,2018-09,1,FALSE
9/8/2018,1670000,2018-09,8,FALSE
9/15/2018,1690000,2018-09,15,FALSE
9/22/2018,1675000,2018-09,22,FALSE
9/29/2018,1670000,2018-09,29,TRUE
10/6/2018,1664000,2018-10,6,FALSE
10/13/2018,1656000,2018-10,13,FALSE
10/20/2018,1657000,2018-10,20,FALSE
10/27/2018,1651000,2018-10,27,TRUE
11/3/2018,1663000,2018-11,3,FALSE
11/10/2018,1671000,2018-11,10,FALSE
11/17/2018,1726000,2018-11,17,FALSE
11/24/2018,1664000,2018-11,24,TRUE
12/1/2018,1663000,2018-12,1,FALSE
12/8/2018,1703000,2018-12,8,FALSE
12/15/2018,1697000,2018-12,15,FALSE
12/22/2018,1723000,2018-12,22,FALSE
12/29/2018,1697000,2018-12,29,TRUE
1/5/2019,1713000,2019-01,5,FALSE
1/12/2019,1709000,2019-01,12,FALSE
1/19/2019,1740000,2019-01,19,FALSE
1/26/2019,1717000,2019-01,26,TRUE
2/2/2019,1743000,2019-02,2,FALSE
2/9/2019,1723000,2019-02,9,FALSE
2/16/2019,1758000,2019-02,16,FALSE
2/23/2019,1747000,2019-02,23,TRUE
3/2/2019,1748000,2019-03,2,FALSE
3/9/2019,1745000,2019-03,9,FALSE
3/16/2019,1719000,2019-03,16,FALSE
3/23/2019,1710000,2019-03,23,FALSE
3/30/2019,1692000,2019-03,30,TRUE
4/6/2019,1659000,2019-04,6,FALSE
4/13/2019,1649000,2019-04,13,FALSE
4/20/2019,1671000,2019-04,20,FALSE
4/27/2019,1675000,2019-04,27,TRUE
5/4/2019,1667000,2019-05,4,FALSE
5/11/2019,1676000,2019-05,11,FALSE
5/18/2019,1666000,2019-05,18,FALSE
5/25/2019,1687000,2019-05,25,TRUE
6/1/2019,1692000,2019-06,1,FALSE
6/8/2019,1668000,2019-06,8,FALSE
6/15/2019,1689000,2019-06,15,FALSE
6/22/2019,1689000,2019-06,22,FALSE
6/29/2019,1712000,2019-06,29,TRUE
7/6/2019,1688000,2019-07,6,FALSE
7/13/2019,1679000,2019-07,13,FALSE
7/20/2019,1692000,2019-07,20,FALSE
7/27/2019,1689000,2019-07,27,TRUE
8/3/2019,1714000,2019-08,3,FALSE
8/10/2019,1682000,2019-08,10,FALSE
8/17/2019,1697000,2019-08,17,FALSE
8/24/2019,1678000,2019-08,24,FALSE
8/31/2019,1679000,2019-08,31,TRUE
9/7/2019,1673000,2019-09,7,FALSE
9/14/2019,1668000,2019-09,14,FALSE
9/21/2019,1665000,2019-09,21,FALSE
9/28/2019,1696000,2019-09,28,TRUE
10/5/2019,1687000,2019-10,5,FALSE
10/12/2019,1693000,2019-10,12,FALSE
10/19/2019,1694000,2019-10,19,FALSE
10/26/2019,1695000,2019-10,26,TRUE
11/2/2019,1692000,2019-11,2,FALSE
11/9/2019,1695000,2019-11,9,FALSE
11/16/2019,1678000,2019-11,16,FALSE
11/23/2019,1699000,2019-11,23,FALSE
11/30/2019,1705000,2019-11,30,TRUE
12/7/2019,1726000,2019-12,7,FALSE
12/14/2019,1718000,2019-12,14,FALSE
12/21/2019,1725000,2019-12,21,FALSE
12/28/2019,1779000,2019-12,28,TRUE
1/4/2020,1766000,2020-01,4,FALSE
1/11/2020,1739000,2020-01,11,FALSE
1/18/2020,1709000,2020-01,18,FALSE
1/25/2020,1752000,2020-01,25,TRUE
2/1/2020,1698000,2020-02,1,FALSE
2/8/2020,1734000,2020-02,8,FALSE
2/15/2020,1705000,2020-02,15,FALSE
2/22/2020,1730000,2020-02,22,FALSE
2/29/2020,1708000,2020-02,29,TRUE
3/7/2020,1715000,2020-03,7,FALSE
3/14/2020,1770000,2020-03,14,FALSE
3/21/2020,3094000,2020-03,21,FALSE
3/28/2020,7868000,2020-03,28,TRUE
4/4/2020,12261000,2020-04,4,FALSE
4/11/2020,16070000,2020-04,11,FALSE
4/18/2020,17656000,2020-04,18,FALSE
4/25/2020,21664000,2020-04,25,TRUE
5/2/2020,20823000,2020-05,2,FALSE
5/9/2020,23128000,2020-05,9,FALSE
5/16/2020,19181000,2020-05,16,FALSE
5/23/2020,19396000,2020-05,23,FALSE
5/30/2020,19287000,2020-05,30,TRUE
6/6/2020,18927000,2020-06,6,FALSE
6/13/2020,17993000,2020-06,13,FALSE
6/20/2020,17713000,2020-06,20,FALSE
6/27/2020,16780000,2020-06,27,TRUE
7/4/2020,17413000,2020-07,4,FALSE
7/11/2020,16385000,2020-07,11,FALSE
7/18/2020,16913000,2020-07,18,FALSE
7/25/2020,15964000,2020-07,25,TRUE
8/1/2020,15303000,2020-08,1,FALSE
8/8/2020,14217000,2020-08,8,FALSE
8/15/2020,13948000,2020-08,15,FALSE
8/22/2020,13246000,2020-08,22,FALSE
8/29/2020,13528000,2020-08,29,TRUE
9/5/2020,12755000,2020-09,5,FALSE
9/12/2020,12706000,2020-09,12,FALSE
9/19/2020,11381000,2020-09,19,FALSE
9/26/2020,10477000,2020-09,26,TRUE
10/3/2020,9259000,2020-10,3,FALSE
10/10/2020,8384000,2020-10,10,FALSE
10/17/2020,7699000,2020-10,17,FALSE
10/24/2020,7076000,2020-10,24,FALSE
10/31/2020,6724000,2020-10,31,TRUE
11/7/2020,6389000,2020-11,7,FALSE
11/14/2020,6138000,2020-11,14,FALSE
11/21/2020,5606000,2020-11,21,FALSE
11/28/2020,5829000,2020-11,28,TRUE
12/5/2020,5614000,2020-12,5,FALSE
12/12/2020,5433000,2020-12,12,FALSE
12/19/2020,5311000,2020-12,19,FALSE
12/26/2020,5180000,2020-12,26,TRUE
1/2/2021,5240000,2021-01,2,FALSE
1/9/2021,5061000,2021-01,9,FALSE
1/16/2021,4878000,2021-01,16,FALSE
1/23/2021,4791000,2021-01,23,FALSE
1/30/2021,4655000,2021-01,30,TRUE
2/6/2021,4592000,2021-02,6,FALSE
2/13/2021,4469000,2021-02,13,FALSE
2/20/2021,4383000,2021-02,20,FALSE
2/27/2021,4157000,2021-02,27,TRUE
3/6/2021,4123000,2021-03,6,FALSE
3/13/2021,3841000,2021-03,13,FALSE
3/20/2021,3753000,2021-03,20,FALSE
3/27/2021,3717000,2021-03,27,TRUE
4/3/2021,3708000,2021-04,3,FALSE
4/10/2021,3652000,2021-04,10,FALSE
4/17/2021,3653000,2021-04,17,FALSE
4/24/2021,3680000,2021-04,24,TRUE
5/1/2021,3640000,2021-05,1,FALSE
5/8/2021,3738000,2021-05,8,FALSE
5/15/2021,3611000,2021-05,15,FALSE
5/22/2021,3769000,2021-05,22,FALSE
5/29/2021,3517000,2021-05,29,TRUE
6/5/2021,3528000,2021-06,5,FALSE
6/12/2021,3412000,2021-06,12,FALSE
6/19/2021,3484000,2021-06,19,FALSE
6/26/2021,3367000,2021-06,26,TRUE
7/3/2021,3265000,2021-07,3,FALSE
7/10/2021,3262000,2021-07,10,FALSE
7/17/2021,3296000,2021-07,17,FALSE
7/24/2021,2980000,2021-07,24,FALSE
7/31/2021,2899000,2021-07,31,TRUE
8/7/2021,2865000,2021-08,7,FALSE
8/14/2021,2908000,2021-08,14,FALSE
8/21/2021,2805000,2021-08,21,FALSE
8/28/2021,2852000,2021-08,28,TRUE
9/4/2021,2715000,2021-09,4,FALSE
9/11/2021,2820000,2021-09,11,FALSE
9/18/2021,2811000,2021-09,18,FALSE
9/25/2021,2727000,2021-09,25,TRUE
10/2/2021,2603000,2021-10,2,FALSE
10/9/2021,2480000,2021-10,9,FALSE
10/16/2021,2239000,2021-10,16,FALSE
10/23/2021,2101000,2021-10,23,FALSE
10/30/2021,2160000,2021-10,30,TRUE
