DATE,SPASTT01BRM657N
2000-11-01,-4.21951206561015
2000-12-01,2.13267268411844
2001-01-01,15.8083864839191
2001-02-01,-3.01789798826331
2001-03-01,-7.38892329069188
2001-04-01,-5.68739856278799
2001-05-01,1.66463547063112
2001-06-01,1.31578141700268
2001-07-01,-6.36688828617454
2001-08-01,-3.80478981966102
2001-09-01,-17.4371384627542
2001-10-01,-1.06724289415251
2001-11-01,16.2434032423828
2001-12-01,4.71411667434841
2002-01-01,0.468425342508378
2002-02-01,-1.75196885654066
2002-03-01,5.34583216220118
2002-04-01,-3.77786527176258
2002-05-01,-5.86845347474317
2002-06-01,-6.96580192904029
2002-07-01,-11.6640851639183
2002-08-01,-5.14643982613026
2002-09-01,-1.50570601608347
2002-10-01,-4.81107923172877
2002-11-01,9.18637343532304
2002-12-01,8.91840228586935
2003-01-01,5.12473848701687
2003-02-01,-9.80785450895377
2003-03-01,4.88624397407037
2003-04-01,11.5836225508618
2003-05-01,7.86379957901688
2003-06-01,3.24959669890015
2003-07-01,0.451237382141279
2003-08-01,3.36287978678741
2003-09-01,14.8911762417344
2003-10-01,10.4831789840597
2003-11-01,6.91971390747545
2003-12-01,11.7749748844157
2004-01-01,9.92222870041885
2004-02-01,-6.22004407662551
2004-03-01,0.0546416657080498
2004-04-01,-0.451448627701115
2004-05-01,-13.4781098271353
2004-06-01,7.03009872585487
2004-07-01,7.41730559465338
2004-08-01,2.59440003980754
2004-09-01,1.89850338205297
2004-10-01,3.1047641964911
2004-11-01,2.63007501249211
2004-12-01,6.53492472116907
2005-01-01,-4.52490332931834
2005-02-01,8.38509062439604
2005-03-01,4.38320237738133
2005-04-01,-7.73979566169266
2005-05-01,-2.73019815865796
2005-06-01,2.56476749761949
2005-07-01,-0.694226809069326
2005-08-01,6.94189815566419
2005-09-01,10.3910837510835
2005-10-01,0.222947678905695
2005-11-01,4.0583133426861
2005-12-01,6.59843329541518
2006-01-01,9.35164803336616
2006-02-01,3.89658475644346
2006-03-01,0.292695673510743
2006-04-01,3.69980946369166
2006-05-01,-0.17533785155341
2006-06-01,-10.5387495101766
2006-07-01,3.79373916384949
2006-08-01,1.71181519679139
2006-09-01,-1.9619037353384
2006-10-01,6.67140523245952
2006-11-01,6.53556196478881
2006-12-01,5.43418388306704
2007-01-01,0.388023872575076
2007-02-01,3.88246544938762
2007-03-01,-2.72545665255142
2007-04-01,9.05855344692671
2007-05-01,6.54862232981059
2007-06-01,4.77560713616521
2007-07-01,4.93130406538063
2007-08-01,-7.20183764514714
2007-09-01,7.87848207651273
2007-10-01,11.3707624046425
2007-11-01,-0.0897543029808525
2007-12-01,1.340257357521
2008-01-01,-5.86129740517704
2008-02-01,4.4576353385907
2008-03-01,-1.566471258416
2008-04-01,4.63564632637541
2008-05-01,10.6426358018496
2008-06-01,-5.44678456114574
2008-07-01,-11.1164671942962
2008-08-01,-7.20194230286853
2008-09-01,-8.76644611387274
2008-10-01,-24.6109365864881
2008-11-01,-6.18633460906625
2008-12-01,4.69441753853909
2009-01-01,5.37517734188045
2009-02-01,1.39740834138663
2009-03-01,-1.35783932867497
2009-04-01,14.4659283906356
2009-05-01,12.2239008138219
2009-06-01,2.76196974808073
2009-07-01,-0.345437424888242
2009-08-01,9.08714617208683
2009-09-01,4.26595512998581
2009-10-01,8.31768634584601
2009-11-01,2.82806494026432
2009-12-01,3.45831884572459
2010-01-01,0.568882791402055
2010-02-01,-3.70554348311886
2010-03-01,4.76428610106374
2010-04-01,1.03115157227377
2010-05-01,-10.2850898154081
2010-06-01,1.1324587651187
2010-07-01,1.26159393565599
2010-08-01,3.84259883156519
2010-09-01,1.75544818737718
2010-10-01,4.26455208430974
2010-11-01,-0.28505904127007
2010-12-01,-2.63486762055475
2011-01-01,1.72867647787926
2011-02-01,-4.65375529651906
2011-03-01,1.15383904164111
2011-04-01,0.15763104585509
2011-05-01,-5.42943022797529
2011-06-01,-2.32497966448916
2011-07-01,-2.91934909954596
2011-08-01,-10.9055849329857
2011-09-01,2.99546278767115
2011-10-01,-1.4867396048958
2011-11-01,4.62604913035511
2011-12-01,0.38773923810166
2012-01-01,5.92693197933237
2012-02-01,7.85263028349419
2012-03-01,1.61785668084773
2012-04-01,-5.97555721356438
2012-05-01,-8.45013956075644
2012-06-01,-4.70661606066721
2012-07-01,0.0209915823205857
2012-08-01,6.50816560364575
2012-09-01,3.02554798383557
2012-10-01,-2.25849601903871
2012-11-01,-2.4195266788033
2012-12-01,4.52104959318353
2013-01-01,2.85828650341597
2013-02-01,-5.77735402246549
2013-03-01,-2.00756404872844
2013-04-01,-3.55321875931832
2013-05-01,1.24404461781736
2013-06-01,-10.5264164188936
2013-07-01,-5.1098264637447
2013-08-01,6.35720357230339
2013-09-01,7.13711571835381
2013-10-01,1.00051757016469
2013-11-01,-2.4286774667369
2013-12-01,-3.74714721316566
2014-01-01,-3.20965193341171
2014-02-01,-3.80724607190348
2014-03-01,-0.667941932815674
2014-04-01,9.51493576187794
2014-05-01,2.96110379476027
2014-06-01,1.40290416051651
2014-07-01,3.52825625532891
2014-08-01,3.684402732802
2014-09-01,0.916971911263233
2014-10-01,-6.75297550666792
2014-11-01,-1.42151332311057
2014-12-01,-6.50735575496125
2015-01-01,-3.2755380978746
2015-02-01,3.5877479369892
2015-03-01,0.44534074106549
2015-04-01,7.92536020035996
2015-05-01,2.6242056996975
2015-06-01,-4.19641521719077
2015-07-01,-3.58189013756969
2015-08-01,-7.52650035525137
2015-09-01,-2.86188681081124
2015-10-01,2.27165770783413
