DATE,BOPGSTB
2009-08-01,-31674.0
2009-09-01,-35247.0
2009-10-01,-34959.0
2009-11-01,-38381.0
2009-12-01,-39426.0
2010-01-01,-37744.0
2010-02-01,-41504.0
2010-03-01,-40271.0
2010-04-01,-41496.0
2010-05-01,-42088.0
2010-06-01,-47316.0
2010-07-01,-41609.0
2010-08-01,-45619.0
2010-09-01,-44333.0
2010-10-01,-40646.0
2010-11-01,-38739.0
2010-12-01,-41721.0
2011-01-01,-48123.0
2011-02-01,-44753.0
2011-03-01,-44312.0
2011-04-01,-42685.0
2011-05-01,-47725.0
2011-06-01,-49882.0
2011-07-01,-46070.0
2011-08-01,-45052.0
2011-09-01,-43477.0
2011-10-01,-45509.0
2011-11-01,-47460.0
2011-12-01,-49473.0
2012-01-01,-50126.0
2012-02-01,-42780.0
2012-03-01,-49749.0
2012-04-01,-46842.0
2012-05-01,-45106.0
2012-06-01,-42941.0
2012-07-01,-42406.0
2012-08-01,-44030.0
2012-09-01,-38794.0
2012-10-01,-41467.0
2012-11-01,-45332.0
2012-12-01,-36334.0
2013-01-01,-40127.0
2013-02-01,-40991.0
2013-03-01,-34300.0
2013-04-01,-38476.0
2013-05-01,-41693.0
2013-06-01,-34420.0
2013-07-01,-36353.0
2013-08-01,-36616.0
2013-09-01,-39920.0
2013-10-01,-36292.0
2013-11-01,-33993.0
2013-12-01,-33649.0
2014-01-01,-37448.0
2014-02-01,-40137.0
2014-03-01,-42958.0
2014-04-01,-43754.0
2014-05-01,-39594.0
2014-06-01,-38914.0
2014-07-01,-38953.0
2014-08-01,-36952.0
2014-09-01,-41688.0
2014-10-01,-41081.0
2014-11-01,-39819.0
2014-12-01,-42845.0
2015-01-01,-38871.0
2015-02-01,-33883.0
2015-03-01,-48691.0
2015-04-01,-39844.0
2015-05-01,-38562.0
2015-06-01,-42500.0
2015-07-01,-40379.0
2015-08-01,-44251.0
2015-09-01,-41691.0
2015-10-01,-40934.0
2015-11-01,-40555.0
2015-12-01,-41099.0
2016-01-01,-40026.0
2016-02-01,-43215.0
2016-03-01,-36551.0
2016-04-01,-37566.0
2016-05-01,-39342.0
2016-06-01,-41658.0
2016-07-01,-40537.0
2016-08-01,-40563.0
2016-09-01,-36545.0
2016-10-01,-39232.0
2016-11-01,-44465.0
2016-12-01,-41469.0
2017-01-01,-42918.0
2017-02-01,-39520.0
2017-03-01,-40889.0
2017-04-01,-43807.0
2017-05-01,-43588.0
2017-06-01,-42223.0
2017-07-01,-42853.0
2017-08-01,-41517.0
2017-09-01,-41165.0
2017-10-01,-42644.0
2017-11-01,-45558.0
2017-12-01,-47109.0
2018-01-01,-47247.0
2018-02-01,-48714.0
2018-03-01,-42893.0
2018-04-01,-44666.0
2018-05-01,-41160.0
2018-06-01,-44404.0
2018-07-01,-50572.0
2018-08-01,-50381.0
2018-09-01,-51453.0
2018-10-01,-52398.0
2018-11-01,-49634.0
2018-12-01,-56413.0
2019-01-01,-49023.0
2019-02-01,-47300.0
2019-03-01,-48914.0
2019-04-01,-49203.0
2019-05-01,-51258.0
2019-06-01,-51749.0
2019-07-01,-51041.0
2019-08-01,-50778.0
2019-09-01,-47839.0
2019-10-01,-43029.0
2019-11-01,-41054.0
2019-12-01,-45676.0
2020-01-01,-44379.0
2020-02-01,-38008.0
2020-03-01,-47243.0
2020-04-01,-52611.0
2020-05-01,-56310.0
2020-06-01,-51766.0
2020-07-01,-62110.0
2020-08-01,-66064.0
2020-09-01,-63224.0
2020-10-01,-63978.0
2020-11-01,-69038.0
2020-12-01,-66969.0
2021-01-01,-67823.0
2021-02-01,-70518.0
2021-03-01,-74448.0
