DATE,GEPUPPP
2000-01-01,61.80740992128485
2000-02-01,53.226038212601345
2000-03-01,58.21391751735493
2000-04-01,61.309942354685724
2000-05-01,84.42283397132239
2000-06-01,82.84790678170708
2000-07-01,58.676889678067035
2000-08-01,51.688452732377755
2000-09-01,62.41414303694405
2000-10-01,68.01640140793043
2000-11-01,104.97316566940879
2000-12-01,99.88686432351317
2001-01-01,95.35262681967119
2001-02-01,95.19111629577277
2001-03-01,107.10132162395558
2001-04-01,103.23676299084985
2001-05-01,81.00790498901368
2001-06-01,70.14599666993729
2001-07-01,95.6448624928973
2001-08-01,84.07497569219343
2001-09-01,170.3001652205977
2001-10-01,166.5242822304246
2001-11-01,121.64972423379919
2001-12-01,104.4180645700395
2002-01-01,105.77052605958166
2002-02-01,88.95682877954854
2002-03-01,79.27837975775259
2002-04-01,83.92815154474806
2002-05-01,76.33294265293885
2002-06-01,95.16149672157553
2002-07-01,95.64669647914215
2002-08-01,105.18174547210208
2002-09-01,122.4242054836177
2002-10-01,118.50820186161604
2002-11-01,117.42681470862546
2002-12-01,113.95271589225847
2003-01-01,117.05158530106036
2003-02-01,124.84699711723545
2003-03-01,158.02562011943868
2003-04-01,128.40901929822547
2003-05-01,101.57991134746739
2003-06-01,83.08385196643864
2003-07-01,79.65263405791471
2003-08-01,70.19990510723318
2003-09-01,78.65931504801414
2003-10-01,78.31686133864734
2003-11-01,73.54387871808157
2003-12-01,70.34810112959777
2004-01-01,76.74210615189253
2004-02-01,76.30323006248437
2004-03-01,75.24023414104
2004-04-01,75.76690654363277
2004-05-01,97.98286096579201
2004-06-01,76.03625915831442
2004-07-01,69.91318472668455
2004-08-01,68.17532394657206
2004-09-01,75.97591034122695
2004-10-01,88.64684580024014
2004-11-01,81.33387748827727
2004-12-01,66.14526634520067
2005-01-01,63.14780452630936
2005-02-01,55.46709695241679
2005-03-01,57.908739144918144
2005-04-01,70.74800850343962
2005-05-01,68.03771867449922
2005-06-01,69.57267973509293
2005-07-01,60.48676131187541
2005-08-01,62.99683445585391
2005-09-01,89.44865248465644
2005-10-01,64.34192978609835
2005-11-01,66.04481418968507
2005-12-01,63.853062676058926
2006-01-01,72.84030752500706
2006-02-01,57.65959002433717
2006-03-01,60.475805301669
2006-04-01,76.13676024809172
2006-05-01,62.76490567555077
2006-06-01,74.52738834424088
2006-07-01,67.07267005041983
2006-08-01,59.06271783895942
2006-09-01,58.74103392825153
2006-10-01,63.43980918526353
2006-11-01,60.62052793980465
2006-12-01,58.66222545896447
2007-01-01,66.50985557676808
2007-02-01,57.17044921263881
2007-03-01,64.69967793320593
2007-04-01,63.542138041758804
2007-05-01,55.12986033216864
2007-06-01,57.027432141001036
2007-07-01,54.39270508655157
2007-08-01,73.85049164134043
2007-09-01,93.12588079043435
2007-10-01,78.19201927962035
2007-11-01,80.83317432720018
2007-12-01,95.241841961003
2008-01-01,132.67908478318873
2008-02-01,102.48323383663453
2008-03-01,124.70373625443743
2008-04-01,97.82252211975195
2008-05-01,79.74973610166178
2008-06-01,94.02113762510727
2008-07-01,102.7906298997387
2008-08-01,98.14350596512114
2008-09-01,169.5082499787614
2008-10-01,204.04870621182812
2008-11-01,145.11929914371007
2008-12-01,151.1762686915824
2009-01-01,147.19220188013196
2009-02-01,146.0025024577264
2009-03-01,136.41813766655613
2009-04-01,106.6713633298477
2009-05-01,100.51226995901047
2009-06-01,116.04323986492327
2009-07-01,107.86635536021114
2009-08-01,99.75802880803937
2009-09-01,107.28254708114544
2009-10-01,87.31874271995099
2009-11-01,97.74265469499086
2009-12-01,97.85041641031843
2010-01-01,111.81343950511518
2010-02-01,114.040417693774
2010-03-01,107.59977763378556
2010-04-01,98.8603548589172
2010-05-01,141.99376796519246
2010-06-01,132.96784643121813
2010-07-01,133.81596750410054
2010-08-01,116.44043268003573
2010-09-01,126.47674656085728
2010-10-01,115.06398767375389
2010-11-01,121.17742825325801
2010-12-01,130.1334732856675
2011-01-01,116.08496664001679
2011-02-01,91.68318958981347
2011-03-01,124.66454636599893
2011-04-01,116.02640676935023
2011-05-01,85.04912214237848
2011-06-01,111.42082399116015
2011-07-01,154.51103218496948
2011-08-01,211.75957137341726
2011-09-01,188.00044811211836
2011-10-01,170.46706734515007
2011-11-01,204.42777193328365
2011-12-01,190.90389429741055
2012-01-01,167.60166125605528
2012-02-01,147.95648477490425
2012-03-01,148.06981358872105
2012-04-01,130.34184021394853
2012-05-01,164.36015290933943
2012-06-01,194.91008396215977
2012-07-01,162.05352120321052
2012-08-01,126.62412016881625
2012-09-01,152.96305233226664
2012-10-01,162.39616389969208
2012-11-01,171.9885772553734
2012-12-01,166.6909321342988
2013-01-01,165.90575320431816
2013-02-01,125.81844668849388
2013-03-01,139.39187232019358
2013-04-01,135.90247304197453
2013-05-01,105.02141561092415
2013-06-01,118.38435763175202
2013-07-01,107.54812156208145
2013-08-01,124.97811255623589
2013-09-01,132.09386366409348
2013-10-01,151.51442362926696
2013-11-01,95.78770159134
2013-12-01,120.303403627369
2014-01-01,112.65400953425934
2014-02-01,95.84439794526845
2014-03-01,111.2929373191363
2014-04-01,104.88076985083755
2014-05-01,105.78838256826764
2014-06-01,88.56695210761163
2014-07-01,96.87453132159686
2014-08-01,105.46824228871894
2014-09-01,127.93949475357141
2014-10-01,121.88525658276092
2014-11-01,119.2007708259405
2014-12-01,113.60906422126297
2015-01-01,142.59100707585335
2015-02-01,118.00945666801951
2015-03-01,106.41893935827922
2015-04-01,100.31740868541519
2015-05-01,102.99040604609837
2015-06-01,115.78395490466441
