DATE,CES3000000008
2012-07-01,19.11
2012-08-01,19.05
2012-09-01,19.07
2012-10-01,19.09
2012-11-01,19.13
2012-12-01,19.13
2013-01-01,19.17
2013-02-01,19.22
2013-03-01,19.21
2013-04-01,19.23
2013-05-01,19.24
2013-06-01,19.28
2013-07-01,19.26
2013-08-01,19.31
2013-09-01,19.34
2013-10-01,19.36
2013-11-01,19.40
2013-12-01,19.46
2014-01-01,19.46
2014-02-01,19.49
2014-03-01,19.53
2014-04-01,19.49
2014-05-01,19.52
2014-06-01,19.55
2014-07-01,19.59
2014-08-01,19.61
2014-09-01,19.60
2014-10-01,19.64
2014-11-01,19.65
2014-12-01,19.63
2015-01-01,19.64
2015-02-01,19.73
2015-03-01,19.77
2015-04-01,19.80
2015-05-01,19.86
2015-06-01,19.90
2015-07-01,19.94
2015-08-01,19.98
2015-09-01,20.08
2015-10-01,20.05
2015-11-01,20.05
2015-12-01,20.10
2016-01-01,20.16
2016-02-01,20.19
2016-03-01,20.27
2016-04-01,20.39
2016-05-01,20.41
2016-06-01,20.48
2016-07-01,20.50
2016-08-01,20.55
2016-09-01,20.56
2016-10-01,20.59
2016-11-01,20.60
2016-12-01,20.63
2017-01-01,20.63
2017-02-01,20.64
2017-03-01,20.68
2017-04-01,20.76
2017-05-01,20.80
2017-06-01,20.85
2017-07-01,20.93
2017-08-01,20.95
2017-09-01,21.02
2017-10-01,21.08
2017-11-01,21.10
2017-12-01,21.21
2018-01-01,21.30
2018-02-01,21.33
2018-03-01,21.38
2018-04-01,21.47
2018-05-01,21.42
2018-06-01,21.47
2018-07-01,21.46
2018-08-01,21.56
2018-09-01,21.61
2018-10-01,21.70
2018-11-01,21.77
2018-12-01,21.82
2019-01-01,21.85
2019-02-01,21.91
2019-03-01,21.95
2019-04-01,21.96
2019-05-01,22.04
2019-06-01,22.14
2019-07-01,22.19
2019-08-01,22.23
2019-09-01,22.25
2019-10-01,22.30
2019-11-01,22.38
2019-12-01,22.44
2020-01-01,22.41
2020-02-01,22.50
2020-03-01,22.58
2020-04-01,22.72
2020-05-01,22.76
2020-06-01,22.62
2020-07-01,22.84
2020-08-01,22.87
2020-09-01,23.01
2020-10-01,22.99
2020-11-01,23.10
2020-12-01,23.12
2021-01-01,23.20
2021-02-01,23.29
2021-03-01,23.33
2021-04-01,23.41
2021-05-01,23.52
