DATE,SPASTT01EZM657N
2000-01-01,3.40922086883669
2000-02-01,7.81490759794419
2000-03-01,4.21145321644842
2000-04-01,-5.18993025678685
2000-05-01,0.191543170704388
2000-06-01,1.23345247936291
2000-07-01,-0.214610044578177
2000-08-01,-0.89232819051702
2000-09-01,-0.429596825588811
2000-10-01,-5.05873751141698
2000-11-01,1.07864726216986
2000-12-01,-3.98253245346491
2001-01-01,-1.07463912507797
2001-02-01,-3.37349027084791
2001-03-01,-7.19841932874514
2001-04-01,1.8801816451518
2001-05-01,4.02561628311436
2001-06-01,-4.23224922676173
2001-07-01,-5.328482773379
2001-08-01,-3.10061149709717
2001-09-01,-15.8066783507623
2001-10-01,3.68937772738706
2001-11-01,6.97592653144459
2001-12-01,1.30775450105501
2002-01-01,0.0947310708179738
2002-02-01,-3.46024574356713
2002-03-01,6.00288057692113
2002-04-01,-1.72358640260724
2002-05-01,-3.89822588182214
2002-06-01,-9.52618888728669
2002-07-01,-10.5896394259281
2002-08-01,-4.12980573911171
2002-09-01,-8.43336504367377
2002-10-01,-3.67166138545597
2002-11-01,7.61047543410695
2002-12-01,-2.61222927847077
2003-01-01,-3.49063488202383
2003-02-01,-8.0093063835975
2003-03-01,-3.57771384612142
2003-04-01,8.13351111499703
2003-05-01,2.07550030321407
2003-06-01,5.68749473976047
2003-07-01,1.23808408478744
2003-08-01,2.87713193718248
2003-09-01,2.01451856649394
2003-10-01,-0.567863677446363
2003-11-01,3.7223924408164
2003-12-01,2.41277006865536
2004-01-01,4.60666371688803
2004-02-01,1.30844925419591
2004-03-01,-1.32542411602287
2004-04-01,1.77912788005559
2004-05-01,-4.15259654943859
2004-06-01,2.19858010925385
2004-07-01,-1.83978090791886
2004-08-01,-2.55462692168069
2004-09-01,3.81121808287986
2004-10-01,1.63464446281324
2004-11-01,3.14926267262826
2004-12-01,1.86463689965654
2005-01-01,1.72931337197228
2005-02-01,3.54941078222139
2005-03-01,0.306106355828904
2005-04-01,-1.39543027851429
2005-05-01,0.0699435015963689
2005-06-01,4.35410857204941
2005-07-01,3.55574989675623
2005-08-01,1.56032694479541
2005-09-01,1.76271633861839
2005-10-01,-0.527242482903514
2005-11-01,1.92521457373742
2005-12-01,4.17971261077724
2006-01-01,3.00356719652734
2006-02-01,4.0061991476172
2006-03-01,2.57527824581917
2006-04-01,1.2026517003344
2006-05-01,-2.90257933440806
2006-06-01,-5.67421655782959
2006-07-01,2.33973296362156
2006-08-01,3.38710009924812
2006-09-01,2.52952537216497
2006-10-01,4.39719504131314
2006-11-01,2.41163931328689
2006-12-01,1.22627805510586
2007-01-01,2.79533400762948
2007-02-01,2.46384520678967
2007-03-01,-3.10896740653722
2007-04-01,6.07886985241773
2007-05-01,2.37273746938042
2007-06-01,0.391927044124213
2007-07-01,-0.475075276012038
2007-08-01,-5.78676978574044
2007-09-01,1.21928712920012
2007-10-01,3.82433023775953
2007-11-01,-3.6764378756694
2007-12-01,0.756253494421079
2008-01-01,-8.28240618990978
2008-02-01,-5.15030829773353
2008-03-01,-4.90497069941454
2008-04-01,4.87186740821321
2008-05-01,2.09487419074952
2008-06-01,-7.33755532856658
2008-07-01,-8.32159959081329
2008-08-01,1.34251213615581
2008-09-01,-4.66771075569898
2008-10-01,-19.8359175870858
2008-11-01,-6.8360215944093
2008-12-01,-2.67650822994064
2009-01-01,-1.60450027167834
2009-02-01,-7.02243671546903
2009-03-01,-7.85029097333825
2009-04-01,13.355683978487
2009-05-01,7.85648758672096
2009-06-01,0.427935410990757
2009-07-01,0.578294758293966
2009-08-01,9.9578092381103
2009-09-01,5.28244993359046
2009-10-01,1.80481207451099
2009-11-01,-1.22504419015723
2009-12-01,1.80497526682817
2010-01-01,1.24045236544498
2010-02-01,-6.0498727958593
2010-03-01,6.07800797587784
2010-04-01,2.27987104204337
2010-05-01,-9.38381929477916
2010-06-01,0.195888323868701
2010-07-01,0.761088510604695
2010-08-01,1.47108973529793
2010-09-01,2.22582763549271
2010-10-01,2.53106200308352
2010-11-01,0.331699406626622
2010-12-01,1.5721999779598
2011-01-01,2.27839861126182
2011-02-01,3.34783069905591
2011-03-01,-3.54183345992516
2011-04-01,1.9565417875613
2011-05-01,-1.1922405215661
2011-06-01,-3.91739872894037
2011-07-01,-0.892670646306751
2011-08-01,-16.1140752737074
2011-09-01,-6.30884375330584
2011-10-01,6.36199831576174
2011-11-01,-3.04756681204164
2011-12-01,1.38554326800247
2012-01-01,5.03714636703582
2012-02-01,5.92058194779435
2012-03-01,1.41075783743118
2012-04-01,-6.09896662159844
2012-05-01,-5.7552062317628
2012-06-01,-2.57110537250606
2012-07-01,4.75243311253376
2012-08-01,6.21881320156496
2012-09-01,3.98268902182996
2012-10-01,-0.572922705410588
2012-11-01,0.0172907418130414
2012-12-01,4.48396058392399
2013-01-01,3.42191131427869
2013-02-01,-1.52282375352057
2013-03-01,2.21773888863699
2013-04-01,-1.7042808459679
2013-05-01,5.35227473556366
2013-06-01,-4.24945659351053
2013-07-01,1.52457775905706
2013-08-01,4.35378046049178
2013-09-01,2.2588215425429
2013-10-01,3.71663816624746
2013-11-01,2.41440281846199
2013-12-01,-1.11687327310595
2014-01-01,3.09135161872565
2014-02-01,0.383212374645689
2014-03-01,0.33585089612998
2014-04-01,1.91813234482213
2014-05-01,0.507034405906118
2014-06-01,2.08751035593623
2014-07-01,-2.76585281970369
2014-08-01,-3.40145763458608
2014-09-01,4.07689342840625
2014-10-01,-6.11480929411511
2014-11-01,3.77293988869861
2014-12-01,1.45836038986748
