DATE,SPASTT01ZAM657N
2000-02-01,-3.81462089462136
2000-03-01,-6.08826426171257
2000-04-01,-6.74193838600639
2000-05-01,-0.175575685661652
2000-06-01,3.8187920296988
2000-07-01,2.75704787234043
2000-08-01,4.17932196502544
2000-09-01,2.4349463621141
2000-10-01,-3.33870948182822
2000-11-01,1.15192862107296
2000-12-01,-0.524383588827697
2001-01-01,6.43686444270446
2001-02-01,6.23243631388378
2001-03-01,-5.5759060695745
2001-04-01,-0.959107433345351
2001-05-01,7.51995038344353
2001-06-01,0.162959859893999
2001-07-01,-5.08109007660667
2001-08-01,-0.0944682441363982
2001-09-01,-7.09793693621924
2001-10-01,4.51370204346923
2001-11-01,7.08482117907539
2001-12-01,13.1478863777437
2002-01-01,3.63976101310345
2002-02-01,2.42562894391964
2002-03-01,2.52313085667374
2002-04-01,1.74694579806018
2002-05-01,1.0562447212136
2002-06-01,-4.09671520844021
2002-07-01,-7.8648099478575
2002-08-01,-6.38894651015299
2002-09-01,1.91058625947076
2002-10-01,-1.23399633369608
2002-11-01,1.42079898875515
2002-12-01,-2.96641196161663
2003-01-01,-0.47331983233646
2003-02-01,-7.38350020971574
2003-03-01,-6.88546824342528
2003-04-01,-3.40325235696115
2003-05-01,3.74017222014227
2003-06-01,7.97836131917801
2003-07-01,-0.495463723619061
2003-08-01,4.70781458303655
2003-09-01,3.14661528131597
2003-10-01,1.79438370340978
2003-11-01,2.63254097937521
2003-12-01,2.87686630362816
2004-01-01,7.73120630286437
2004-02-01,0.458277993579659
2004-03-01,-0.184577030946621
2004-04-01,-0.662731840685735
2004-05-01,-5.44638830645349
2004-06-01,0.357265429628156
2004-07-01,-1.18223579259282
2004-08-01,6.04288325058331
2004-09-01,6.3909728735486
2004-10-01,3.76464301283944
2004-11-01,3.3557348277451
2004-12-01,1.76004943480253
2005-01-01,1.99111035227585
2005-02-01,3.95604204701229
2005-03-01,2.22401824243387
2005-04-01,-3.37397920892871
2005-05-01,1.69091116025973
2005-06-01,6.88455116338161
2005-07-01,4.24369777626843
2005-08-01,5.33823818864234
2005-09-01,4.20773674599975
2005-10-01,-0.200577867060899
2005-11-01,5.90155524839799
2005-12-01,3.1512181024361
2006-01-01,6.30012182368008
2006-02-01,3.52805972187837
2006-03-01,1.28044839915606
2006-04-01,6.23876738955661
2006-05-01,0.469522019591274
2006-06-01,-4.65625925133159
2006-07-01,4.26945426945426
2006-08-01,1.84963270606368
2006-09-01,2.98442672386802
2006-10-01,5.03139190992558
2006-11-01,3.24597229652117
2006-12-01,2.23324538970494
2007-01-01,3.03487170435961
2007-02-01,4.68281476382206
2007-03-01,-0.285256363690577
2007-04-01,7.23539644665944
2007-05-01,1.72283471098612
2007-06-01,1.2347054626235
2007-07-01,1.44675682798183
2007-08-01,-6.25977790821645
2007-09-01,6.5213049620117
2007-10-01,5.7382418176789
2007-11-01,-2.43256568870667
2007-12-01,-1.86810035985194
2008-01-01,-7.35354761035772
2008-02-01,6.1685570886989
2008-03-01,3.1071958651037
2008-04-01,3.57343277154527
2008-05-01,3.83656987813521
2008-06-01,-3.85874207839164
2008-07-01,-10.2837802235269
2008-08-01,-2.98336548818333
2008-09-01,-6.1147152224482
2008-10-01,-18.0215867416726
2008-11-01,-4.15750947528331
2008-12-01,5.72289474703173
2009-01-01,0.565254718977943
2009-02-01,-4.89225979863777
2009-03-01,-2.24167546057362
2009-04-01,5.24609761494772
2009-05-01,6.01944403628575
2009-06-01,3.26016242000611
2009-07-01,2.08348142284253
2009-08-01,7.43325797775142
2009-09-01,1.34016796181347
2009-10-01,2.97357453818706
2009-11-01,3.05062069832853
2009-12-01,2.34179807265395
2010-01-01,1.22240418349159
2010-02-01,-3.55643281267674
2010-03-01,5.71898124885481
2010-04-01,2.99175062246915
2010-05-01,-6.03413476677099
2010-06-01,-0.458525255329364
2010-07-01,1.17826777528696
2010-08-01,0.349636617917537
2010-09-01,3.079670953862
2010-10-01,5.27880897138438
2010-11-01,4.28812182341095
2010-12-01,1.67973027491211
2011-01-01,1.09955753814741
2011-02-01,1.37642697112871
2011-03-01,-3.36683309009908
2011-04-01,3.31737446139602
2011-05-01,-1.57740948236731
2011-06-01,-2.25517291191081
2011-07-01,2.29811961853044
2011-08-01,-7.00686655849364
2011-09-01,2.32466880035078
2011-10-01,2.00057903023282
2011-11-01,3.05480497580944
2011-12-01,0.721633530964765
2012-01-01,3.23477759934051
2012-02-01,2.61613293501896
2012-03-01,-0.728238758006469
2012-04-01,0.0409365044416373
2012-05-01,-0.989154642739863
2012-06-01,0.848620976015407
2012-07-01,0.639057967867173
2012-08-01,4.33108778201263
2012-09-01,0.899944142174335
2012-10-01,2.27440187904774
2012-11-01,2.30031211840757
2012-12-01,3.37444073190982
2013-01-01,3.6549137230158
2013-02-01,0.386030271460031
2013-03-01,0.0993951048344539
2013-04-01,-4.01495659897791
2013-05-01,5.21180014649596
2013-06-01,-2.0556887751225
2013-07-01,1.1876741978888
2013-08-01,4.96879845675479
2013-09-01,2.69586664571056
2013-10-01,1.92407415905651
2013-11-01,1.67415756896301
2013-12-01,-1.44581263664024
2014-01-01,3.64251897779502
2014-02-01,0.496352250991502
2014-03-01,1.86818643211593
2014-04-01,2.49711715549742
2014-05-01,2.05172847970923
2014-06-01,2.38314969361441
2014-07-01,2.21035263739078
2014-08-01,-0.848141391331014
2014-09-01,-0.633845875309768
2014-10-01,-5.45028130617166
2014-11-01,4.3290664466046
2014-12-01,-2.37191590423883
2015-01-01,0.829147905723126
2015-02-01,6.28293847602227
