DATE,SPASTT01MXM657N
2000-02-01,5.17009461508507
2000-03-01,7.91432477593801
2000-04-01,-13.6412081724582
2000-05-01,-11.0504546565916
2000-06-01,6.94783722714801
2000-07-01,8.0612318269647
2000-08-01,-8.48317875694249
2000-09-01,3.34720978189071
2000-10-01,-9.26943250266446
2000-11-01,1.40365696524349
2000-12-01,-8.73146676341722
2001-01-01,8.70061250828918
2001-02-01,3.13719702187675
2001-03-01,-5.88176368637805
2001-04-01,-0.393634939915744
2001-05-01,7.45349726674005
2001-06-01,4.84109771535545
2001-07-01,-1.34115422370236
2001-08-01,-1.21792289286063
2001-09-01,-14.3390775742876
2001-10-01,0.39819944598338
2001-11-01,2.51300511582458
2001-12-01,8.97346038332276
2002-01-01,6.48169736535322
2002-02-01,1.08967631358398
2002-03-01,8.34141233375806
2002-04-01,2.24205848572464
2002-05-01,-0.52836559986622
2002-06-01,-9.39298874479063
2002-07-01,-6.47314949201741
2002-08-01,-3.57481106055662
2002-09-01,-0.437348500057236
2002-10-01,-1.5302781096741
2002-11-01,0.257909914300795
2002-12-01,3.68838069773879
2003-01-01,0.382887905984096
2003-02-01,-4.67491903585776
2003-03-01,1.08998918006683
2003-04-01,5.47061565672802
2003-05-01,4.4380407136862
2003-06-01,6.76544462302838
2003-07-01,2.65392507877632
2003-08-01,3.34420653507305
2003-09-01,4.76832805017873
2003-10-01,1.63975795030256
2003-11-01,6.37505763608449
2003-12-01,1.76347374199624
2004-01-01,8.19813895142833
2004-02-01,6.92568170437721
2004-03-01,2.20468347311735
2004-04-01,4.85637800418621
2004-05-01,-6.72812747454785
2004-06-01,2.82539843157094
2004-07-01,-1.22981148860626
2004-08-01,0.224275786484679
2004-09-01,6.0555150180033
2004-10-01,4.39766038018822
2004-11-01,6.83282514302952
2004-12-01,5.0864935870445
2005-01-01,1.98971671789112
2005-02-01,6.53530501278958
2005-03-01,-2.49389076991019
2005-04-01,-7.26818839934236
2005-05-01,3.52782198488319
2005-06-01,5.17223212965847
2005-07-01,4.69432567431074
2005-08-01,4.11942813888055
2005-09-01,5.58563427538329
2005-10-01,-0.211566867991888
2005-11-01,6.4609698289751
2005-12-01,7.75761970769134
2006-01-01,6.27082463276016
2006-02-01,-0.565074920615601
2006-03-01,2.33221247662793
2006-04-01,4.25445164973673
2006-05-01,2.57472537151918
2006-06-01,-10.7688736948147
2006-07-01,7.93498039832452
2006-08-01,5.18825002725752
2006-09-01,3.65442132718523
2006-10-01,6.087958939162
2006-11-01,6.34344185358157
2006-12-01,6.44207582508888
2007-01-01,3.34747147726742
2007-02-01,5.7925995874854
2007-03-01,-2.86672987509217
2007-04-01,8.01098049101496
2007-05-01,2.67768942683456
2007-06-01,4.55861587287322
2007-07-01,0.173884028232217
2007-08-01,-6.99035030609516
2007-09-01,3.11746687629974
2007-10-01,4.9400325662944
2007-11-01,-8.09086327697498
2007-12-01,2.27329843610354
2008-01-01,-6.70918134297656
2008-02-01,4.12880251289202
2008-03-01,0.930402731762367
2008-04-01,7.00598670037763
2008-05-01,-0.899828995944657
2008-06-01,-2.86294804312732
2008-07-01,-8.03023060193139
2008-08-01,-3.92257932976797
2008-09-01,-5.2053861009126
2008-10-01,-19.1573134231886
2008-11-01,-4.15050941061645
2008-12-01,9.5642602790659
2009-01-01,-3.54955995502526
2009-02-01,-8.09164449805234
2009-03-01,-1.19485400011102
2009-04-01,13.3784490005332
2009-05-01,11.3939950951747
2009-06-01,3.12667735135545
2009-07-01,2.91272763823513
2009-08-01,10.7047291560973
2009-09-01,3.87199229616337
2009-10-01,3.1525979987937
2009-11-01,1.82466726116559
2009-12-01,5.08698755262797
2010-01-01,-0.321075193779136
2010-02-01,-2.21544762456033
2010-03-01,4.73814584565229
2010-04-01,2.34185462435419
2010-05-01,-5.7398997504197
2010-06-01,1.15449039664551
2010-07-01,0.447393851070952
2010-08-01,0.235403196078638
2010-09-01,2.255818222536
2010-10-01,5.54195575317203
2010-11-01,4.58332841665922
2010-12-01,4.30285247874001
2011-01-01,0.0615538048324758
2011-02-01,-2.03938654923528
2011-03-01,-1.92209291152032
2011-04-01,1.95139087096844
2011-05-01,-4.52528006408848
2011-06-01,-0.293817787296335
2011-07-01,1.99896220239316
2011-08-01,-5.93857819116862
2011-09-01,0.715658571824779
2011-10-01,1.1111761435135
2011-11-01,5.10814542107685
2011-12-01,1.13045082554054
2012-01-01,1.18166547904721
2012-02-01,2.2466295175122
2012-03-01,0.709120367543486
2012-04-01,2.73434386383789
2012-05-01,-2.49380130127521
2012-06-01,-0.496499639710984
2012-07-01,6.40636622467261
2012-08-01,-0.379292824508143
2012-09-01,-0.29028315717067
2012-10-01,3.77206562888145
2012-11-01,-1.04556886437966
2012-12-01,4.40047116414554
2013-01-01,4.14860565060962
2013-02-01,-1.02795322710617
2013-03-01,-2.43366859608304
2013-04-01,-0.667832101864984
2013-05-01,-4.01088556765886
2013-06-01,-4.70430960530777
2013-07-01,2.50951910569405
2013-08-01,2.30565268900181
2013-09-01,-1.22459711894441
2013-10-01,-0.597547379066007
2013-11-01,0.250636674204773
2013-12-01,3.70194935235818
2014-01-01,-1.31712189870684
2014-02-01,-4.13088234553866
2014-03-01,-2.16410211789673
2014-04-01,3.74113846735735
2014-05-01,2.77713044142318
2014-06-01,2.19872275475397
2014-07-01,2.93955889964836
2014-08-01,2.2884938513502
2014-09-01,1.66653265386987
2014-10-01,-3.84432533045659
2014-11-01,1.01780144316322
2014-12-01,-4.23342801097339
2015-01-01,-1.23550794098651
2015-02-01,2.41514996946455
