DATE,USEPUINDXM
2019-05-01,122.53876
2019-06-01,150.11678
2019-07-01,149.97290
2019-08-01,190.46324
2019-09-01,134.36179
2019-10-01,118.48822
2019-11-01,131.75070
2019-12-01,143.46724
2020-01-01,131.39111
2020-02-01,160.51564
2020-03-01,283.14722
2020-04-01,268.61639
2020-05-01,350.45984
2020-06-01,231.25978
2020-07-01,305.96353
2020-08-01,224.42636
2020-09-01,218.05827
2020-10-01,249.17361
2020-11-01,246.70712
2020-12-01,246.12613
2021-01-01,207.91243
2021-02-01,151.93289
2021-03-01,139.80121
2021-04-01,124.96279
2021-05-01,147.64737
