DATE,SPASTT01AUM657N
2000-01-01,0.111327870984533
2000-02-01,1.54795805424057
2000-03-01,2.68184908877962
2000-04-01,-3.07141573424277
2000-05-01,-1.79965487655569
2000-06-01,3.44831648410336
2000-07-01,4.39919729326883
2000-08-01,0.718160597459214
2000-09-01,-0.988755378183079
2000-10-01,-0.889490221076662
2000-11-01,1.37721892765523
2000-12-01,-1.51642343492014
2001-01-01,0.664289219133128
2001-02-01,1.27463588368291
2001-03-01,-1.99401530359459
2001-04-01,0.349915225614804
2001-05-01,3.70184579322618
2001-06-01,0.944570807224879
2001-07-01,-1.3697644271994
2001-08-01,-0.341346128177414
2001-09-01,-7.70474872390138
2001-10-01,3.02704111149307
2001-11-01,3.59215612626571
2001-12-01,1.38025159429469
2002-01-01,2.05761341402169
2002-02-01,0.706619155724886
2002-03-01,-0.218527831125772
2002-04-01,-1.70392575403335
2002-05-01,-0.507751533469352
2002-06-01,-2.14368346027518
2002-07-01,-4.51833406720215
2002-08-01,-0.933638100423656
2002-09-01,-0.895501400846183
2002-10-01,-3.24245896270469
2002-11-01,1.00197059573862
2002-12-01,-0.141074673449916
2003-01-01,0.765986431590661
2003-02-01,-5.82298029227231
2003-03-01,-1.7330116240675
2003-04-01,5.39622852395446
2003-05-01,0.484641753491309
2003-06-01,2.99220246697811
2003-07-01,0.201088199790678
2003-08-01,2.91233741596207
2003-09-01,1.33019527126072
2003-10-01,1.69809287792265
2003-11-01,-1.55135387617361
2003-12-01,0.937394722066267
2004-01-01,2.05667689890541
2004-02-01,0.340903378813361
2004-03-01,2.88427297912279
2004-04-01,0.893074252728228
2004-05-01,-1.35800344334155
2004-06-01,3.1644832802874
2004-07-01,0.787637547313246
2004-08-01,-0.312479538174279
2004-09-01,2.78797698077871
2004-10-01,2.66831759446985
2004-11-01,4.06097976636817
2004-12-01,2.94424245374424
2005-01-01,2.20175742185771
2005-02-01,2.24774460163774
2005-03-01,0.996318382861239
2005-04-01,-3.04490609114675
2005-05-01,-0.970498163493909
2005-06-01,5.25861041887988
2005-07-01,1.60195213008416
2005-08-01,2.89555740971329
2005-09-01,2.39800477918272
2005-10-01,-2.03491106364354
2005-11-01,3.16938620223199
2005-12-01,1.58610599481592
2006-01-01,3.82048617309041
2006-02-01,0.779768102992026
2006-03-01,2.04418207188429
2006-04-01,5.13662357328572
2006-05-01,-0.934332584633872
2006-06-01,-4.1269477463962
2006-07-01,1.1237001915327
2006-08-01,-0.326373316071105
2006-09-01,1.0277258583149
2006-10-01,4.45550394907185
2006-11-01,2.70494431742614
2006-12-01,2.0531460143068
2007-01-01,2.34899377315125
2007-02-01,4.65649244022537
2007-03-01,-1.17147873914378
2007-04-01,4.71141681131348
2007-05-01,2.58479724899686
2007-06-01,0.0993029271029871
2007-07-01,0.233374578646852
2007-08-01,-4.9060828162119
2007-09-01,5.33611278403136
2007-10-01,5.56294363345812
2007-11-01,-2.53413470091077
2007-12-01,-1.33170288559162
2008-01-01,-8.35236839051006
2008-02-01,-4.25524329984131
2008-03-01,-6.78928882340531
2008-04-01,5.18469259494846
2008-05-01,4.33366077512562
2008-06-01,-6.22855920640291
2008-07-01,-8.02258473016863
2008-08-01,-0.122608446980437
2008-09-01,-1.50711221267542
2008-10-01,-14.026557711951
2008-11-01,-9.96611538827106
2008-12-01,-5.33374892385456
2009-01-01,-0.054894336069864
2009-02-01,-3.99576336667856
2009-03-01,-1.51269279482067
2009-04-01,9.4670043648025
2009-05-01,3.05418931629344
2009-06-01,2.97405537266767
2009-07-01,0.692256293810439
2009-08-01,10.3237047258423
2009-09-01,5.24567954380905
2009-10-01,3.05653027878701
2009-11-01,-1.53702467131057
2009-12-01,0.98095314548713
2010-01-01,2.4230480842551
2010-02-01,-4.83659419157491
2010-03-01,4.92709695618727
2010-04-01,1.94687044369427
2010-05-01,-8.58568093492808
2010-06-01,-0.929712407479166
2010-07-01,-1.38170280996826
2010-08-01,1.67064678202549
2010-09-01,3.02727955045795
2010-10-01,1.2046493392239
2010-11-01,0.346942084336825
2010-12-01,1.53675248098532
2011-01-01,0.415689162385196
2011-02-01,2.26229091167066
2011-03-01,-3.22641425011256
2011-04-01,3.68827999037955
2011-05-01,-3.66803078752668
2011-06-01,-3.55414904816563
2011-07-01,0.0157414301672466
2011-08-01,-7.18942148673007
2011-09-01,-3.34139497464934
2011-10-01,2.47284855084713
2011-11-01,0.410808113388405
2011-12-01,-0.498221574100675
2012-01-01,0.519050920771941
2012-02-01,1.67943863731736
2012-03-01,-0.0703948419011959
2012-04-01,1.66088820525095
2012-05-01,-2.85892416350323
2012-06-01,-3.40007465954699
2012-07-01,2.03330736589029
2012-08-01,4.10517530342274
